transaction_id,timestamp,amount,transaction_hour,is_fraud_predicted,fraud_confidence
522,2025-05-22 02:34:56.644509,0.0581343813511594,2,0,0.37
738,2025-05-19 20:34:56.644509,0.2070863635250618,20,0,0.1
741,2025-05-19 19:49:56.644509,0.0754811577168882,19,0,0.19
661,2025-05-20 15:49:56.644509,0.0533264771419476,15,0,0.01
412,2025-05-23 06:04:56.644509,0.3663563015744753,6,0,0.0
679,2025-05-20 11:19:56.644509,0.4266038590562942,11,0,0.47
627,2025-05-21 00:19:56.644509,0.0754481010798501,0,0,0.33
514,2025-05-22 04:34:56.644509,0.2455673498371654,4,0,0.06
860,2025-05-18 14:04:56.644509,0.0077523935453855,14,0,0.03
137,2025-05-26 02:49:56.644509,0.0889847939469624,2,0,0.38
